run_ts,country,country_code,country_group,indicator,indicator_code,status,rows,error
20260315T070236Z,Philippines,PHL,Philippines,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,8,
20260315T070236Z,Philippines,PHL,Philippines,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,24,
20260315T070236Z,Philippines,PHL,Philippines,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,Philippines,PHL,Philippines,poverty_headcount,WB_WDI_SI_POV_NAHC,success,9,
20260315T070236Z,Philippines,PHL,Philippines,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,Philippines,PHL,Philippines,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,Vietnam,VNM,ASEAN peer,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,15,
20260315T070236Z,Vietnam,VNM,ASEAN peer,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T070236Z,Vietnam,VNM,ASEAN peer,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,Vietnam,VNM,ASEAN peer,poverty_headcount,WB_WDI_SI_POV_NAHC,success,14,
20260315T070236Z,Vietnam,VNM,ASEAN peer,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,Vietnam,VNM,ASEAN peer,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,Indonesia,IDN,ASEAN peer,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,24,
20260315T070236Z,Indonesia,IDN,ASEAN peer,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T070236Z,Indonesia,IDN,ASEAN peer,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,Indonesia,IDN,ASEAN peer,poverty_headcount,WB_WDI_SI_POV_NAHC,success,25,
20260315T070236Z,Indonesia,IDN,ASEAN peer,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,Indonesia,IDN,ASEAN peer,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,Thailand,THA,ASEAN peer,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,17,
20260315T070236Z,Thailand,THA,ASEAN peer,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T070236Z,Thailand,THA,ASEAN peer,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,Thailand,THA,ASEAN peer,poverty_headcount,WB_WDI_SI_POV_NAHC,success,20,
20260315T070236Z,Thailand,THA,ASEAN peer,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,Thailand,THA,ASEAN peer,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,Malaysia,MYS,ASEAN peer,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,7,
20260315T070236Z,Malaysia,MYS,ASEAN peer,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T070236Z,Malaysia,MYS,ASEAN peer,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,Malaysia,MYS,ASEAN peer,poverty_headcount,WB_WDI_SI_POV_NAHC,success,5,
20260315T070236Z,Malaysia,MYS,ASEAN peer,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,Malaysia,MYS,ASEAN peer,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,India,IND,Large emerging,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,7,
20260315T070236Z,India,IND,Large emerging,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,22,
20260315T070236Z,India,IND,Large emerging,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,India,IND,Large emerging,poverty_headcount,WB_WDI_SI_POV_NAHC,success,3,
20260315T070236Z,India,IND,Large emerging,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,India,IND,Large emerging,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,China,CHN,Large emerging,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,3,
20260315T070236Z,China,CHN,Large emerging,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T070236Z,China,CHN,Large emerging,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,China,CHN,Large emerging,poverty_headcount,WB_WDI_SI_POV_NAHC,success,13,
20260315T070236Z,China,CHN,Large emerging,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,China,CHN,Large emerging,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,Singapore,SGP,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,18,
20260315T070236Z,Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T070236Z,Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,Singapore,SGP,Advanced economy,poverty_headcount,WB_WDI_SI_POV_NAHC,success,0,
20260315T070236Z,Singapore,SGP,Advanced economy,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,Singapore,SGP,Advanced economy,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T070236Z,United States,USA,Advanced economy,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,25,
20260315T070236Z,United States,USA,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,24,
20260315T070236Z,United States,USA,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T070236Z,United States,USA,Advanced economy,poverty_headcount,WB_WDI_SI_POV_NAHC,success,0,
20260315T070236Z,United States,USA,Advanced economy,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T070236Z,United States,USA,Advanced economy,population_total,WB_WDI_SP_POP_TOTL,success,25,
