run_ts,country,country_code,country_group,indicator,indicator_code,status,rows,error
20260315T201038Z,Malaysia,MYS,ASEAN peer,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T201038Z,Malaysia,MYS,ASEAN peer,poverty_headcount,WB_WDI_SI_POV_NAHC,success,5,
20260315T201038Z,Malaysia,MYS,ASEAN peer,gini_index,WB_WDI_SI_POV_GINI,success,8,
20260315T201038Z,Malaysia,MYS,ASEAN peer,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T201038Z,Malaysia,MYS,ASEAN peer,hospital_beds,WB_WDI_SH_MED_BEDS_ZS,success,22,
20260315T201038Z,Malaysia,MYS,ASEAN peer,co2_per_capita,WB_WDI_EN_ATM_CO2E_PC,success,0,
20260315T201038Z,Malaysia,MYS,ASEAN peer,air_passengers,WB_WDI_IS_AIR_PSGR,success,24,
20260315T201038Z,Malaysia,MYS,ASEAN peer,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T201038Z,India,IND,Large emerging,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,7,
20260315T201038Z,India,IND,Large emerging,education_expenditure,WB_WDI_SE_XPD_TOTL_GD_ZS,success,19,
20260315T201038Z,India,IND,Large emerging,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,22,
20260315T201038Z,India,IND,Large emerging,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T201038Z,India,IND,Large emerging,poverty_headcount,WB_WDI_SI_POV_NAHC,success,3,
20260315T201038Z,India,IND,Large emerging,gini_index,WB_WDI_SI_POV_GINI,success,4,
20260315T201038Z,India,IND,Large emerging,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
20260315T201038Z,India,IND,Large emerging,hospital_beds,WB_WDI_SH_MED_BEDS_ZS,success,21,
20260315T201038Z,India,IND,Large emerging,co2_per_capita,WB_WDI_EN_ATM_CO2E_PC,success,0,
20260315T201038Z,India,IND,Large emerging,air_passengers,WB_WDI_IS_AIR_PSGR,success,24,
20260315T201038Z,India,IND,Large emerging,population_total,WB_WDI_SP_POP_TOTL,success,25,
20260315T201038Z,China,CHN,Large emerging,education_secondary,WB_WDI_SE_SEC_CUAT_UP_ZS,success,3,
20260315T201038Z,China,CHN,Large emerging,education_expenditure,WB_WDI_SE_XPD_TOTL_GD_ZS,success,1,
20260315T201038Z,China,CHN,Large emerging,internet_users_pct,WB_WDI_IT_NET_USER_ZS,success,25,
20260315T201038Z,China,CHN,Large emerging,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,success,25,
20260315T201038Z,China,CHN,Large emerging,poverty_headcount,WB_WDI_SI_POV_NAHC,success,13,
20260315T201038Z,China,CHN,Large emerging,gini_index,WB_WDI_SI_POV_GINI,success,16,
20260315T201038Z,China,CHN,Large emerging,life_expectancy,WB_WDI_SP_DYN_LE00_IN,success,24,
